"BASKETID","BASKETTYPE","DIRECTION","LOCATION_DESCRIPTION","OWNERTYPE","SECTION","STATEPLANE_LABELX","STATEPLANE_LABELY","STATEPLANE_SNAPPEDX","STATEPLANE_SNAPPEDY","STREETNAME1","STREETNAME2","OBJECTID","point"
"30650030","R","W","W corner of 7 AVE and 7 ST","D","BKS065","989,567.05759548","182,663.67967005","989,607.47614981","182,684.72654396","7 AVE","7 ST","23379","POINT (-73.9808334737 40.6680447052)"
"31750031","S","NW","NW corner of AV D and E 51 ST","D","BKN175","1,004,075.24117748","173,305.3509458","1,004,115.47830173","173,279.47960647","AV D","E 51 ST","10191","POINT (-73.9285629984 40.6423375481)"
"10110419","H","N","N corner of F D R DR and SOUTH ST","P","MN011","981,805.17679381","195,066.79725222","981,727.47747414","195,105.72958905","F D R DR","SOUTH ST","18434","POINT (-74.008817414 40.7020896871)"
"20710098","H",,,"P","BX071","1,010,720.08418697","255,777.35266814",,,,,"9751","POINT (-73.9042947334 40.8686845554)"
"11110093","S","NW","NW corner of 3 AV and E 98 ST","D","MN111","998,515.41305831","225,923.02097271","998,524.11153173","225,859.6730023","3 AV","E 98 ST","8842","POINT (-73.9484854204 40.7867711196)"
"10110042","H",,,"P","MN011","979,735.63696964","198,413.84469196",,,,,"4666","POINT (-74.0162835878 40.7112757283)"
"10810003","S","SE","SE corner of PARK AV and E 69 ST","D","MN081","993,926.12302432","219,414.53005272","993,920.31496505","219,463.4948498","PARK AV","E 69 ST","4380","POINT (-73.9650674163 40.7689132454)"
"10330006","R","SW","SW corner of AV D and E 3 ST","D","MN033","990,209.09469722","201,811.70797497","990,252.54375731","201,829.86181004","AV D","E 3 ST","1","POINT (-73.9785021676 40.7206011942)"
"10810148","H","SE","SE corner of YORK AV and E 67 ST","D","MN081","996,448.98576073","217,436.56123963","996,423.42424244","217,450.60964815","YORK AV","E 67 ST","21116","POINT (-73.9559630091 40.7634811122)"
"10110424","H",,,"P","MN011","982,468.01897205","195,658.73077963",,,,,"18439","POINT (-74.0064269872 40.703714564)"
"10520749","C",,,"B","MN052","988,068.41722006","214,769.23980263",,,,,"17653","POINT (-73.9862174496 40.7561675901)"
"31550018","H","SE","SE corner of AV U and E 3 ST","B","BKS155","993,003.76561706","156,886.74959672","992,962.90250981","156,936.38204338","AV U","E 3 ST","16924","POINT (-73.9684785263 40.5972897711)"
"30720039","S","S","S corner of 5 AV and 39 ST","D","BKS072","983,185.4164874","176,456.55100821","983,171.89518897","176,519.02037147","5 AV","39 ST","15225","POINT (-74.0038365501 40.6510090359)"
"30720035","S","E","E corner of 4 AV and 16 ST","D","BKS072","986,504.32586007","181,969.74405006","986,451.80332731","181,957.48390396","4 AV","16 ST","15217","POINT (-73.9918740089 40.666141316)"
"21030093","D",,,"O","BX103","1,029,495.12570506","235,079.34682013",,,,,"100685","POINT (-73.8365514335 40.8117983901)"
"41320053","D",,,"O","QE132","1,057,917.67187823","208,962.67595647",,,,,"97662","POINT (-73.7341614705 40.7399240421)"
"50210131","D",,,"O","SI021","961,254.40982457","154,441.09864813",,,,,"96349","POINT (-74.0827965784 40.5905514443)"
"31010099","D",,,"O","BKS101","973,534.5086239","172,310.45037656",,,,,"96119","POINT (-74.0386099398 40.639622466)"
"40420060","H","W","W corner of 94 ST and 59 AV","P","QW042","1,021,022.53963189","207,028.30384097","1,021,121.87145422","207,031.76774479","94 ST","59 AV","47778","POINT (-73.8673121979 40.7348450423)"
"41230047","H","W","W corner of GUY R BREWER BLVD and LIBERTY AV","D","QE123","1,041,076.73443156","194,857.7409118","1,041,150.60042556","194,848.74585106","GUY R BREWER BLVD","LIBERTY AV","16479","POINT (-73.7950528221 40.7013337491)"
"21120025","H","Direction TBD","Location Description T/K","P","BX112","1,027,025.43969956","248,983.06507564","1,027,083.90442146","248,960.51084584","Street Name TBD",,"8380","POINT (-73.8453845303 40.8499723506)"
"10420031","H","SE","SE corner of 9 AV and W 31 ST","B","MN042","984,922.64890531","212,979.00617838","984,913.34839898","213,026.8148098","9 AV","W 31 ST","866","POINT (-73.9975722575 40.7512546521)"
"30120003","S","N","N corner of METROPOLITAN AV and DRIGGS AV","D","BKN012","995,650.34857848","199,760.89711596","995,668.03817564","199,733.58352231","METROPOLITAN AV","DRIGGS AV","10135","POINT (-73.9588759561 40.7149668727)"
"40770009","S","NW","NW corner of NORTHERN BLVD and 159 ST","D","QE077","1,037,826.70845132","217,487.98830213","1,037,857.70445231","217,438.23643313","NORTHERN BLVD","159 ST","16814","POINT (-73.8065938896 40.7634683418)"
"31020140","D","Direction TBD","Location Description T/K","O","BKS102","973,619.30340181","169,675.35098797","973,695.46952651","169,627.96265642","Street Name TBD",,"96152","POINT (-74.0383002568 40.6323897819)"
"30320032","R","SE","SE corner of BEDFORD AV and DEKALB AVENUE","D","BKN032","996,684.36947632","190,934.18215789","996,647.90826315","190,977.43305564","BEDFORD AV","DEKALB AVENUE","23682","POINT (-73.9551622703 40.6907382221)"
"31510096","H","NW","NW corner of KINGS HWY and E 15 ST","B","BKS151","995,791.71115665","161,093.08698455","995,814.15008815","161,080.93412171","KINGS HWY","E 15 ST","13777","POINT (-73.9584322145 40.6088321179)"
"10910164","D","Direction TBD","Location Description T/K","O","MN091","996,029.18935622","233,885.47552021","996,002.90519745","233,895.50255284","Street Name TBD",,"100787","POINT (-73.9574495842 40.8086295518)"
"41250008","S","E","E corner of 111 AV and SUTPHIN BLVD","D","QE125","1,041,032.96352173","190,232.02542572","1,040,966.3147049","190,225.60942805","111 AV","SUTPHIN BLVD","11769","POINT (-73.7952496768 40.6886375486)"
"50230010","S","SW","SW corner of SLOSSON AV and SCHMIDTS LA","D","SI023","951,848.67699565","161,256.94754921","951,862.15761173","161,299.38217564","SLOSSON AV","SCHMIDTS LA","13869","POINT (-74.1166949688 40.6092301596)"
"20830016","S","NW","NW corner of BROADWAY and LAKEVIEW PL","D","BX083","1,012,598.02268831","266,725.90393372","1,012,660.55668397","266,693.14776564","BROADWAY","LAKEVIEW PL","9845","POINT (-73.8974585239 40.8987290558)"
"30210120","H","NE","NE corner of FRONT ST and PEARL ST","B","BKN021","987,715.62068155","195,241.31888481","987,694.31068482","195,216.71591564","FRONT ST","PEARL ST","10791","POINT (-73.9875009237 40.7025683672)"
"41210122","S","NW","NW corner of SUTPHIN BLVD and 89 AV","D","QE121","1,037,200.31206632","195,775.98021705","1,037,237.69256897","195,767.47596897","SUTPHIN BLVD","89 AV","20406","POINT (-73.80902598 40.7038781391)"
"50130064","S","NW","NW corner of CASTLETON AV and BEMENT AV","D","SI013","953,026.80980998","170,610.40390788","953,073.11319506","170,570.11166564","CASTLETON AV","BEMENT AV","14068","POINT (-74.1124951317 40.6349076528)"
"30410128","R","S","S corner of WYCKOFF AV and DEKALB AVENUE","D","BKN041","1,006,658.94499956","195,800.60516781","1,006,647.73406398","195,857.72841314","WYCKOFF AV","DEKALB AVENUE","23245","POINT (-73.9191782626 40.7040757804)"
"10340083","R","NE","NE corner of 2 AV and E 10 ST","D","MN034","987,977.83373982","205,169.0765883","987,941.00966647","205,157.29445963","2 AV","E 10 ST","23023","POINT (-73.9865497307 40.7298175774)"
"50130041","S","Direction TBD","Location Description T/K","D","SI013","952,213.91117331","162,809.65802647","952,210.36863324","162,844.92126867","Street Name TBD",,"14465","POINT (-74.1153869276 40.6134933546)"
"10810036","H","SW","SW corner of LEXINGTON AV and E 61 ST","B","MN081","993,246.26808481","217,412.86640513","993,281.41893314","217,430.57207838","LEXINGTON AV","E 61 ST","4589","POINT (-73.9675244966 40.7634199151)"
"10830173","S","NW","NW corner of MADISON AV and E 77 ST","D","MN083","994,456.22990373","221,700.61209472","994,455.6518209","221,664.16302063","MADISON AV","E 77 ST","4090","POINT (-73.9631501613 40.7751873468)"
"10520730","C","Direction TBD","Location Description T/K","B","MN052","988,883.03402914","215,611.01403771","988,901.59654787","215,644.45515916","Street Name TBD",,"2261","POINT (-73.9832765159 40.7584776562)"
"10110003","H","SE","SE corner of W THAMES ST and BATTERY PL","P","MN011","979,659.82478531","197,167.59095088","979,647.91929731","197,225.83886588","W THAMES ST","BATTERY PL","4261","POINT (-74.0165561975 40.7078550183)"
"30130044","R","S","S corner of NASSAU AV and DIAMOND ST","D","BKN013","999,031.08000597","203,408.6785343","999,049.14361815","203,453.1626973","NASSAU AV","DIAMOND ST","14990","POINT (-73.9466727642 40.7249741499)"
"21120100","D","Direction TBD","Location Description T/K","O","BX112","1,020,098.92664973","252,846.00223163","1,020,062.01174167","252,849.65509508","Street Name TBD",,"99281","POINT (-73.8704003035 40.860605788)"
"30650113","S","S","S corner of 9 ST and 5 AV","D","BKS065","988,105.80854948","182,977.24761246","988,055.17610481","183,031.86167647","9 ST","5 AV","15529","POINT (-73.9861006941 40.6689061362)"
"11110217","H","NW","NW corner of 2 AV and E 96 ST","D","MN111","998,874.55046339","225,085.87927429","998,881.43726064","225,059.65622963","2 AV","E 96 ST","21441","POINT (-73.9471903433 40.7844728025)"
"31150044","S","S","S corner of BAY PKWY and 85 ST","D","BKS115","986,168.79667547","158,704.85750905","986,149.61233065","158,759.90234646","BAY PKWY","85 ST","19202","POINT (-73.9930900798 40.6022842243)"
"31010029","S","W","W corner of 4 AV and SENATOR ST","D","BKS101","977,822.77498172","171,006.55600272","977,856.76146232","171,027.69933313","4 AV","SENATOR ST","17982","POINT (-74.0231572649 40.6360477042)"
"10810363","R","NW","NW corner of YORK AV and E 68 ST","D","MN081","996,484.23339364","217,828.10310747","996,523.77432506","217,763.86898397","YORK AV","E 68 ST","65197","POINT (-73.9558350564 40.7645557448)"
"30620040","S","SW","SW corner of COURT ST and WARREN ST","D","BKS062","985,917.03996114","189,454.64049755","985,948.76955648","189,469.59486397","COURT ST","WARREN ST","12368","POINT (-73.9939891008 40.686685798)"
"10110240","R","SE","SE corner of BROADWAY and WARREN ST","D","MN011","982,397.34621315","199,195.86150064","982,373.33694346","199,211.39958825","BROADWAY","WARREN ST","8327","POINT (-74.0066828525 40.713423136)"
"10430275","R","NW","NW corner of 9 AV and W 44 ST","O","MN043","986,530.15651706","216,149.28330238","986,529.41143981","216,104.3972373","9 AV","W 44 ST","1485","POINT (-73.9917693228 40.7599559874)"
"21110044","S","NW","NW corner of MORRIS PARK AV and HUNT AV","D","BX111","1,021,494.83461906","247,362.4114928","1,021,520.66035481","247,341.7461798","MORRIS PARK AV","HUNT AV","7385","POINT (-73.8653843419 40.845549201)"
"31510049","S","SE","SE corner of AV U and E 12 ST","D","BKS151","995,354.83932698","157,259.21669956","995,330.14186981","157,277.90695088","AV U","E 12 ST","17184","POINT (-73.9600119233 40.5983094839)"
"10420075","S","SE","SE corner of 12 AVE and W 27 ST","D","MN042","982,194.78723507","213,314.01830363","982,172.69771232","213,356.60712922","12 AVE","W 27 ST","956","POINT (-74.0074178314 40.7521739624)"
"10610153","S","NW","NW corner of 2 AV and E 24 ST","D","MN061","989,648.45113348","208,428.06678946","989,651.32120648","208,385.98714921","2 AV","E 24 ST","4530","POINT (-73.9805194185 40.7387618409)"
"21120093","D","Direction TBD","Location Description T/K","O","BX112","1,019,998.14273056","254,055.4099178","1,020,056.335771","254,052.43870643","Street Name TBD",,"99274","POINT (-73.8707582024 40.8639256522)"
"40710154","R","SW","SW corner of 37 AV and PRINCE ST","D","QE071","1,030,504.50459181","216,478.54412679","1,030,501.68241897","216,497.3098373","37 AV","PRINCE ST","9367","POINT (-73.8330331285 40.7607390234)"
"10320167","R","SE","SE corner of ORCHARD ST and STANTON ST","D","MN032","987,452.05526382","202,067.47682038","987,439.83284731","202,105.0157873","ORCHARD ST","STANTON ST","22365","POINT (-73.9884482498 40.7213046456)"
"30150026","S","NE","NE corner of GRAHAM AV and SEIGEL ST","D","BKN015","1,000,172.90547822","195,994.84460871","1,000,150.0141198","195,960.79907313","GRAHAM AV","SEIGEL ST","8968","POINT (-73.942570819 40.7046229704)"
"40120006","S","Direction TBD","Location Description T/K","D","QW012","1,008,938.43945631","221,901.79935639","1,008,902.7554049","221,933.931425","Street Name TBD",,"14603","POINT (-73.9108610816 40.7757109673)"
"10430397","S","NE","NE corner of 12 AVE and W 44 ST","D","MN043","984,462.9434599","217,299.02116038","984,403.98130748","217,288.51461972","12 AVE","W 44 ST","64399","POINT (-73.9992313019 40.7631120139)"
"10840023","S","NW","NW corner of MADISON AV and E 84 ST","D","MN084","995,372.16901673","223,351.87814914","995,373.43213756","223,319.40905397","MADISON AV","E 84 ST","4442","POINT (-73.9598404083 40.7797185316)"
"10830003","R","NE","NE corner of 1 AV and E 81 ST","O","MN083","997,697.98096615","221,151.33957122","997,663.87047006","221,142.2119648","1 AV","E 81 ST","4231","POINT (-73.9514468425 40.7736754005)"
"30510076","R","NE","NE corner of FULTON ST and BARBEY ST","D","BKN051","1,015,063.32976556","186,564.79096229","1,015,050.2366159","186,536.86778981","FULTON ST","BARBEY ST","9688","POINT (-73.8889086675 40.6787003464)"
"31810028","R","S","S corner of ROCKAWAY PKWY and CONKLIN AV","D","BKS181","1,011,617.44787781","173,956.19938163","1,011,613.39965756","173,996.48604646","ROCKAWAY PKWY","CONKLIN AV","21379","POINT (-73.9013832744 40.644103892)"
"10130068","S","NW","NW corner of HUDSON ST and HUBERT ST","D","MN013","981,888.85674456","202,130.23030379","981,913.83996232","202,100.75365672","HUDSON ST","HUBERT ST","7603","POINT (-74.008518094 40.7214771531)"
"50110046","S","Direction TBD","Location Description T/K","D","SI011","960,510.26498739","166,127.8790803","960,556.76401548","166,120.67645817","Street Name TBD",,"2346","POINT (-74.0855169806 40.6226272901)"
"30540055","S","NE","NE corner of PENNSYLVANIA AV and BLAKE AV","D","BKN054","1,013,472.03603214","182,654.51761489","1,013,456.13219257","182,631.00289813","PENNSYLVANIA AV","BLAKE AV","13382","POINT (-73.8946627077 40.6679729282)"
"30610060","S","NE","NE corner of COURT ST and 3 PL","D","BKS061","984,973.22295114","186,567.69810872","984,921.98355231","186,546.05412313","COURT ST","3 PL","15663","POINT (-73.9973925618 40.678761926)"
"31260019","S","E","E corner of BAY PKWY and 60 ST","D","BKS126","990,345.62329556","163,968.22231038","990,271.28059648","163,958.99267004","BAY PKWY","60 ST","12316","POINT (-73.9780438509 40.6167291914)"
"10340177","H","SE","SE corner of COOPER SQ and ST MARKS PLACE","P","MN034","987,137.39906898","204,965.41426596","987,068.95760481","205,033.02469505","COOPER SQ","ST MARKS PLACE","22501","POINT (-73.9895821616 40.7292588883)"
"20820143","R","E","E corner of BROADWAY and KIMBERLY PL","D","BX082","1,010,417.35644598","259,074.82999705","1,010,386.49167676","259,091.56528908","BROADWAY","KIMBERLY PL","21345","POINT (-73.9053763967 40.8777360151)"
"10230064","R","Direction TBD","Location Description T/K","D","MN023","984,189.77537106","207,207.29790555","984,162.45925431","207,194.97156469","Street Name TBD",,"254","POINT (-74.0002173127 40.7354127796)"
"10130087","S","NE","NE corner of GREENWICH ST and HUBERT ST","D","MN013","981,555.33247723","202,167.54945488","981,533.66683814","202,145.84903896","GREENWICH ST","HUBERT ST","7818","POINT (-74.0097213358 40.7215794899)"
"30150120","S","NW","NW corner of GRAND ST and MANHATTAN AV","D","BKN015","999,249.18455665","198,531.69222529","999,310.26186231","198,519.0879198","GRAND ST","MANHATTAN AV","57149","POINT (-73.9458967534 40.7115876297)"
"31520014","S","NW","NW corner of AV U and E 27 ST","D","BKS152","999,543.12819448","157,963.88622196","999,571.13076314","157,940.93384005","AV U","E 27 ST","17851","POINT (-73.9449284728 40.6002374212)"
"41380028","R","SE","SE corner of SPRINGFIELD BLVD and 144 AV","D","QE138","1,051,623.14903423","182,313.24565963","1,051,607.41120481","182,373.9528873","SPRINGFIELD BLVD","144 AV","14548","POINT (-73.7571424983 40.6668280931)"
"30820107","R","NW","NW corner of NOSTRAND AV and STERLING PL","D","BKN082","998,004.15587872","184,355.21336046","998,028.99802065","184,324.01132314","NOSTRAND AV","STERLING PL","22930","POINT (-73.9504166142 40.672678499)"
"10130003","S","SE","SE corner of W BROADWAY and THOMAS ST","D","MN013","982,054.79735756","200,461.90522838","982,060.53586315","200,519.97597839","W BROADWAY","THOMAS ST","3743","POINT (-74.0079189002 40.7168980449)"
"30220222","C","E","E corner of ATLANTIC AV and 4 AV","B","BKN022","990,314.99770065","188,636.6450863","990,273.49122198","188,651.39538488","ATLANTIC AV","4 AV","17604","POINT (-73.978131981 40.6844386667)"
"10130286","R","SE","SE corner of LAFAYETTE ST and WORTH ST","D","MN013","983,441.49274689","199,934.93843456","983,433.51999381","199,937.17596288","LAFAYETTE ST","WORTH ST","6409","POINT (-74.0029165186 40.7154518827)"
"41370031","H","SE","SE corner of MERRICK BLVD and 244 ST","P","QE137","1,059,322.74649589","184,912.74013256","1,059,281.39191981","184,969.87289231","MERRICK BLVD","244 ST","20302","POINT (-73.7293592608 40.6739011505)"
"10110305","C","NE","NE corner of EXCHANGE PL and WILLIAM ST","B","MN011","981,592.24644539","196,447.73510714","981,529.76920815","196,433.22234088","EXCHANGE PL","WILLIAM ST","6021","POINT (-74.0095859061 40.7058799755)"
"41260054","S","NE","NE corner of LINDEN BLVD and 198 ST","D","QE126","1,052,509.92908481","192,305.01898313","1,052,493.67583647","192,232.83736897","LINDEN BLVD","198 ST","14764","POINT (-73.7538447614 40.694246342)"
"31410140","D","Direction TBD","Location Description T/K","O","BKS141","994,636.29778506","177,926.07136314","994,645.51000944","177,946.77923293","Street Name TBD",,"98462","POINT (-73.9625675602 40.6550365217)"
"20730009","S","NW","NW corner of E GUN HILL RD and PERRY AV","D","BX073","1,018,963.52800189","259,670.0482948","1,018,979.80585648","259,631.8397098","E GUN HILL RD","PERRY AV","9072","POINT (-73.8744695953 40.8793402275)"
"10410103","S","NW","NW corner of 10 AV and W 19 ST","D","MN041","982,578.59125748","210,855.26928413","982,580.44952148","210,818.96784756","10 AV","W 19 ST","847","POINT (-74.0060319654 40.7454253965)"
"20530009","R","NW","NW corner of ANTHONY AV and E TREMONT AV","D","BX053","1,010,970.78840998","248,559.71782522","1,011,000.44845565","248,528.17753397","ANTHONY AV","E TREMONT AV","22898","POINT (-73.9034170607 40.8488735706)"
"50330008","S","W","W corner of HYLAN BLVD and FIELDWAY AV","D","SI033","945,340.36192831","138,941.29926722","945,434.67670031","138,914.74977963","HYLAN BLVD","FIELDWAY AV","14259","POINT (-74.1400064945 40.5479519956)"
"30520006","S","SE","SE corner of PITKIN AV and CRYSTAL ST","D","BKN052","1,019,148.79075472","185,195.38917355","1,019,129.18187006","185,219.42291813","PITKIN AV","CRYSTAL ST","9172","POINT (-73.8741864605 40.6749264875)"
"21010141","S","E","E corner of WESTCHESTER AV and MIDDLETOWN RD","D","BX101","1,029,541.65546764","246,674.20716055","1,029,471.34655315","246,639.0802623","WESTCHESTER AV","MIDDLETOWN RD","21503","POINT (-73.8363050703 40.8436226777)"
"20120129","S","E","E corner of E 149 ST and ST ANNS AV","D","BX012","1,008,418.84403881","235,986.52578005","1,008,382.44877039","235,970.25383097","E 149 ST","ST ANNS AV","11048","POINT (-73.9126864182 40.8143711417)"
"10110284","C","NE","NE corner of TRINITY PL and MORRIS ST","B","MN011","980,357.35619864","196,588.27846122","980,315.83790898","196,596.22070254","TRINITY PL","MORRIS ST","6006","POINT (-74.0140399526 40.7062652768)"
"10130104","S","NW","NW corner of BROADWAY and FRANKLIN ST","D","MN013","983,249.45408897","200,731.77772014","983,255.52034982","200,690.63508588","BROADWAY","FRANKLIN ST","8021","POINT (-74.0036093758 40.7176389959)"
"10830235","R","SE","SE corner of E 78 ST and CHEROKEE PL","D","MN083","998,275.87646389","219,771.68878722","998,260.79217649","219,820.29564539","E 78 ST","CHEROKEE PL","82853","POINT (-73.9493632641 40.7698877219)"
"20830104","D","Direction TBD","Location Description T/K","O","BX083","1,012,949.81660414","268,214.03350338","1,012,914.29889654","268,221.27502465","Street Name TBD",,"100769","POINT (-73.8961796238 40.9028123533)"
"10230162","H","NW","NW corner of HUDSON ST and W 13 ST","B","MN023","982,761.38879214","208,950.06410505","982,756.65651815","208,923.51560171","HUDSON ST","W 13 ST","449","POINT (-74.0053718438 40.7401961163)"
"50120155","D","N","N corner of VICTORY BLVD and JERSEY ST","O","SI012","961,024.6871869","170,969.26572296","961,011.26989089","170,925.64573146","VICTORY BLVD","JERSEY ST","15303","POINT (-74.0836805533 40.6359172331)"
"20430001","R","W","W corner of E 170 ST and WALTON AV","D","BX043","1,007,447.71966873","245,129.75913396","1,007,476.8400173","245,145.22498231","E 170 ST","WALTON AV","22591","POINT (-73.9161631354 40.8394693025)"
"30430030","H","N","N corner of WILSON AV and HALSEY ST","D","BKN043","1,009,334.73098657","191,271.94132489","1,009,331.71491648","191,250.28388788","WILSON AV","HALSEY ST","9944","POINT (-73.9095444504 40.6916384787)"
"10610021","S","Direction TBD","Location Description T/K","D","MN061","988,621.57851531","206,577.72501771","988,651.92041719","206,560.83048731","Street Name TBD",,"2264","POINT (-73.9842261421 40.733683677)"
"40710030","H","E","E corner of PRINCE ST and 39 AV","D","QE071","1,030,788.45054623","216,032.51614747","1,030,718.35193315","216,082.73061396","PRINCE ST","39 AV","23394","POINT (-73.8320112467 40.7595133031)"
"30740005","S","W","W corner of 8 AV and 57 ST","D","BKS074","981,999.5113789","171,419.28549221","982,055.82130565","171,426.36323397","8 AV","57 ST","14019","POINT (-74.0081086389 40.6371826047)"
"30930012","H","SW","SW corner of BEDFORD AV and PARKSIDE AV","D","BKN093","996,294.59171256","178,144.57584739","996,325.05785897","178,213.12131396","BEDFORD AV","PARKSIDE AV","11646","POINT (-73.956590644 40.6556341684)"
"50130155","S","Direction TBD","Location Description T/K","D","SI013","944,502.98204139","167,288.83246705","944,534.2667234","167,263.28921886","Street Name TBD",,"13919","POINT (-74.1431863202 40.6257565056)"
"41330051","S","N","N corner of 90 AV and FRANCIS LEWIS BLVD","D","QE133","1,051,570.7206614","201,093.80160238","1,051,557.6770523","201,045.19507229","90 AV","FRANCIS LEWIS BLVD","14963","POINT (-73.7571437984 40.7183765783)"
"10310067","C","E","E corner of HENRY ST and CATHERINE ST","B","MN031","985,096.19941123","198,923.31873864","985,070.43469898","198,952.54144922","HENRY ST","CATHERINE ST","22574","POINT (-73.9969476421 40.7126752246)"
"10210213","S","NW","NW corner of E HOUSTON ST and BOWERY","D","MN021","986,262.8611199","203,212.87741672","986,270.97363648","203,167.72658838","E HOUSTON ST","BOWERY","480","POINT (-73.9927380498 40.7244488436)"
"41150023","S","Direction TBD","Location Description T/K","D","QE115","1,051,922.51490532","211,834.53274556","1,051,873.5503915","211,815.1171588","Street Name TBD",,"12042","POINT (-73.7557666936 40.7478544464)"
"10830079","H","NW","NW corner of E 79 ST and PARK AV","B","MN083","995,144.47557448","221,960.47902905","995,150.61106089","221,923.01092814","E 79 ST","PARK AV","5581","POINT (-73.9606648128 40.7758997917)"
"40820018","S","N","N corner of HILLSIDE AV and 166 ST","D","QE082","1,040,730.46740755","197,937.94899021","1,040,699.33262731","197,884.1876148","HILLSIDE AV","166 ST","12568","POINT (-73.7962758033 40.7097903884)"
"10510284","H","NW","NW corner of PARK AVE and E 32 ST","B","MN051","989,118.14773214","211,075.26425096","989,125.68577482","211,032.55994006","PARK AVE","E 32 ST","1813","POINT (-73.9824311289 40.7460280455)"
"30710030","S","N","N corner of PROSPECT PARK W and 18 ST","D","BKS071","989,007.85989498","178,969.37537888","988,996.77855231","178,928.51686479","PROSPECT PARK W","18 ST","12266","POINT (-73.9828518341 40.6579049755)"
"40940029","S","NE","NE corner of JAMAICA AV and 124 ST","D","QW094","1,032,439.46266414","194,750.38548346","1,032,410.43188231","194,683.61658813","JAMAICA AV","124 ST","17883","POINT (-73.8262040589 40.7010903357)"
"10620146","S","SW","SW corner of 2 AV and E 37 ST","D","MN062","991,234.27571774","211,296.47804739","991,271.81993398","211,313.04166254","2 AV","E 37 ST","5709","POINT (-73.9747939128 40.7466338037)"
"30510162","D","Direction TBD","Location Description T/K","O","BKN051","1,015,214.34357114","188,033.35889129","1,015,245.34797704","187,983.44837297","Street Name TBD",,"96544","POINT (-73.8883574699 40.6827307017)"
"11220001","S","SW","SW corner of WADSWORTH AV and W 180 ST","D","MN122","1,002,051.69666815","248,592.3263558","1,002,072.06145681","248,644.49685514","WADSWORTH AV","W 180 ST","6304","POINT (-73.9356552336 40.8489855581)"
"11220187","R","SW","SW corner of FT WASHINGTON AV and W 177 ST","D","MN122","1,000,915.35281223","248,116.98970805","1,000,951.55090256","248,161.5811543","FT WASHINGTON AV","W 177 ST","8711","POINT (-73.9397637626 40.8476831174)"
"30910063","H","NE","NE corner of UTICA AV and UNION ST","D","BKN091","1,003,388.85409881","182,635.46778421","1,003,357.00212839","182,606.8953348","UTICA AV","UNION ST","12570","POINT (-73.9310098023 40.6679481798)"
"10740004","R","NE","NE corner of BROADWAY and W 97 ST","D","MN074","992,305.13184373","229,037.53114788","992,254.18312673","229,028.9678448","BROADWAY","W 97 ST","4545","POINT (-73.9709079543 40.7953274534)"
"30110067","R","S","S corner of MANHATTAN AV and MESEROLE AV","D","BKN011","997,344.42885172","204,121.53832905","997,352.24084398","204,154.22756813","MANHATTAN AV","MESEROLE AV","19662","POINT (-73.9527564822 40.726933434)"
"30540009","S","S","S corner of NEW LOTS AV and SHEFFIELD AV","D","BKN054","1,013,679.58548582","180,208.66948822","1,013,683.59400798","180,268.08964497","NEW LOTS AV","SHEFFIELD AV","9352","POINT (-73.8939252269 40.6612589349)"
"30640107","R","W","W corner of 7 AV and GARFIELD PL","D","BKS064","990,527.61571373","184,196.89773221","990,581.02735232","184,220.76677896","7 AV","GARFIELD PL","15629","POINT (-73.9773694989 40.6722524169)"
"41210236","H","Direction TBD","Location Description T/K","B","QE121","1,041,218.81780881","196,496.63100672","1,041,243.1206521","196,450.32707445","Street Name TBD",,"20656","POINT (-73.7945265318 40.7058311914)"
"30650025","R","N","N corner of 9 ST and 7 AV","D","BKS065","989,351.56196348","182,319.65443946","989,351.20435265","182,284.69814456","9 ST","7 AV","17548","POINT (-73.9816105363 40.6671005594)"
"11220225","S","SE","SE corner of ST NICHOLAS AV and W 183 ST","D","MN122","1,002,852.43489607","249,076.65183072","1,002,838.94148473","249,108.65045439","ST NICHOLAS AV","W 183 ST","8905","POINT (-73.9327595985 40.8503132372)"
"30630057","S","W","W corner of 5 AV and ST MARKS PLACE","D","BKS063","990,444.55944939","187,292.49685596","990,473.86549315","187,324.5335373","5 AV","ST MARKS PLACE","12402","POINT (-73.9776660674 40.6807491963)"
"20520090","H","W","W corner of E 188 ST and GRAND CONCOURSE","D","BX052","1,012,429.70970473","253,111.61029622","1,012,464.28082982","253,124.72673979","E 188 ST","GRAND CONCOURSE","23569","POINT (-73.8981246241 40.8613626134)"
"40920008","S","SE","SE corner of JAMAICA AV and 90 ST","D","QW092","1,024,622.00553006","191,679.77351446","1,024,579.89734656","191,708.97719622","JAMAICA AV","90 ST","16695","POINT (-73.8544161706 40.6927013502)"
"30540065","R","NE","NE corner of PENNSYLVANIA AV and LIVONIA AV","D","BKN054","1,013,697.46438706","181,542.16682121","1,013,673.23805757","181,508.69543147","PENNSYLVANIA AV","LIVONIA AV","13549","POINT (-73.8938549608 40.6649190279)"
"11040098","S","SW","SW corner of FREDERICK DOUGLASS BOULEVARD and W 144 ST","D","MN104","1,000,105.00141457","238,805.00833204","1,000,150.05972339","238,816.80588064","FREDERICK DOUGLASS BOULEVARD","W 144 ST","8460","POINT (-73.9427147547 40.8221259155)"
"10850139","R","SE","SE corner of PARK AV and E 92 ST","D","MN085","996,923.53369614","224,822.05565497","996,913.46842755","224,864.39940231","PARK AV","E 92 ST","2873","POINT (-73.9542360152 40.78375169)"
