"BASKETID","BASKETTYPE","DIRECTION","LOCATION_DESCRIPTION","OWNERTYPE","SECTION","STATEPLANE_LABELX","STATEPLANE_LABELY","STATEPLANE_SNAPPEDX","STATEPLANE_SNAPPEDY","STREETNAME1","STREETNAME2","OBJECTID","point"
"40720021","S","SE","SE corner of MAIN ST and BOOTH MEMORIAL AV","D","QE072","1,032,539.09271424","211,208.73150371","1,032,458.28578922","211,269.0132073","MAIN ST","BOOTH MEMORIAL AV","11727","POINT (-73.8257266526 40.7462638749)"
"41210171","S","N","N corner of JAMAICA AV and 192 ST","D","QE121","1,048,583.67086123","199,146.31041864","1,048,569.67449814","199,122.4036423","JAMAICA AV","192 ST","12745","POINT (-73.7679379944 40.7130534259)"
"10520241","H","NE","NE corner of MADISON AV and E 41 ST","B","MN052","989,945.16871589","213,330.03730047","989,885.86141981","213,308.98911421","MADISON AV","E 41 ST","2023","POINT (-73.9794445474 40.7522163352)"
"10510422","C","SW","SW corner of AVE OF THE AMERICAS and W 38 ST","B","MN051","988,054.58653906","213,348.34336622","988,099.68356173","213,365.25507779","AVE OF THE AMERICAS","W 38 ST","1886","POINT (-73.9862681753 40.7522675963)"
"10230054","S","E","E corner of JANE ST and W 4 ST","D","MN023","983,212.08047606","208,161.84356864","983,192.19370481","208,183.40225256","JANE ST","W 4 ST","20173","POINT (-74.0037453436 40.7380327108)"
"10710158","S","NW","NW corner of CENTRAL PARK W and W 70 ST","D","MN071","990,621.09649789","221,676.94055413","990,628.9370334","221,634.3369648","CENTRAL PARK W","W 70 ST","3988","POINT (-73.9769970244 40.7751259709)"
"31240081","S","S","S corner of 16 AV and 48 ST","D","BKS124","988,449.08115689","169,299.48822263","988,441.49094898","169,354.16560672","16 AV","48 ST","33915","POINT (-73.9848717901 40.6313635019)"
"20120051","S","S","S corner of E 138 ST and BROOK AV","D","BX012","1,006,639.90173057","233,402.94892621","1,006,621.73641256","233,466.33429813","E 138 ST","BROOK AV","15482","POINT (-73.9191217285 40.8072846319)"
"31110003","S","N","N corner of 65 ST and 18 AV","D","BKS111","986,967.78129798","164,917.60886306","986,972.66514649","164,886.62532921","65 ST","18 AV","17224","POINT (-73.9902102969 40.6193367404)"
"10810186","H","NE","NE corner of YORK AV and E 65 ST","D","MN081","996,238.34904289","217,053.51574588","996,211.71979167","217,068.34875646","YORK AV","E 65 ST","21239","POINT (-73.9567240674 40.7624300392)"
"40710039","R","S","S side of NORTHERN BLVD between MAIN ST and UNION ST","D","QE071","1,031,642.66898215","217,469.79739364","1,031,629.25640808","217,505.09538811","NORTHERN BLVD","MAIN ST/UNION ST","9380","POINT (-73.8289176696 40.7634537257)"
"30150061","R","SW","SW corner of GRAHAM AV and METROPOLITAN AV","D","BKN015","999,622.70677547","199,544.79715447","999,646.47181982","199,577.32727313","GRAHAM AV","METROPOLITAN AV","17148","POINT (-73.9445471162 40.7143677196)"
"11240102","R","W","W corner of BROADWAY and W 204 ST","O","MN124","1,005,435.2909508","255,198.20848522","1,005,479.44539006","255,184.2698648","BROADWAY","W 204 ST","10263","POINT (-73.9234042579 40.8671092474)"
"10520813","H","SW","SW corner of MADISON AV and E 36 ST","D","MN052","989,171.79591881","212,147.80672529","989,198.12985565","212,169.46383421","MADISON AV","E 36 ST","93260","POINT (-73.9822367307 40.7489718753)"
"40110014","S","N","N corner of 23 AV and 29 ST","D","QW011","1,008,101.08647223","221,741.53655355","1,008,110.95259422","221,693.42477313","23 AV","29 ST","13206","POINT (-73.9138849558 40.7752733873)"
"11110060","S","SW","SW corner of 2 AV and E 104 ST","D","MN111","999,842.45010239","226,838.8068708","999,874.49597006","226,837.2891573","2 AV","E 104 ST","7403","POINT (-73.9436911629 40.7892824644)"
"20620163","S","SE","SE corner of 3 AV and E 178 ST","D","BX062","1,013,172.80959648","248,129.71835713","1,013,160.80174647","248,158.83444063","3 AV","E 178 ST","18232","POINT (-73.8954596637 40.8476864113)"
"11220181","S","SE","SE corner of FT WASHINGTON AV and W 179 ST","D","MN122","1,001,170.19318181","248,643.35414088","1,001,158.87791573","248,676.98071405","FT WASHINGTON AV","W 179 ST","8523","POINT (-73.9388413245 40.8491273474)"
"40540023","S","SE","SE corner of METROPOLITAN AV and 79 ST","D","QW054","1,019,350.4307714","199,082.19342089","1,019,316.3599734","199,132.21989563","METROPOLITAN AV","79 ST","16593","POINT (-73.8733871683 40.7130417117)"
"20730083","H","W","W corner of JEROME AV and W GUN HILL RD","B","BX073","1,017,003.51551773","260,899.37490438","1,017,033.48757064","260,884.37985563","JEROME AV","W GUN HILL RD","11171","POINT (-73.8815513354 40.8827218351)"
"10520216","S","NW","NW corner of 7 AV and W 56 ST","D","MN052","989,626.41640064","217,996.47383371","989,626.77401148","217,964.66221754","7 AV","W 56 ST","2225","POINT (-73.9805912816 40.7650247093)"
"31010039","S","SE","SE corner of 3 AV and 73 ST","D","BKS101","976,724.76799139","169,773.44101489","976,710.62858398","169,812.00261755","3 AV","73 ST","18394","POINT (-74.0271120042 40.6326622008)"
"30210243","C","SW","SW corner of JAY ST and WILLOUGHBY ST","B","BKN021","987,724.51633306","191,426.26910022","987,743.00153232","191,457.20571813","JAY ST","WILLOUGHBY ST","17359","POINT (-73.9874708088 40.69209694)"
