year_month,NTA2020,Complaint Type,complaint_count
2010-01,BK0101,Litter Basket / Request,2
2010-01,BK0101,Missed Collection (All Materials),13
2010-01,BK0102,Litter Basket / Request,4
2010-01,BK0102,Missed Collection (All Materials),14
2010-01,BK0102,Sweeping/Missed-Inadequate,3
2010-01,BK0103,Collection Truck Noise,1
2010-01,BK0103,Missed Collection (All Materials),8
2010-01,BK0104,Litter Basket / Request,2
2010-01,BK0104,Missed Collection (All Materials),20
2010-01,BK0201,Missed Collection (All Materials),6
2010-01,BK0201,Overflowing Litter Baskets,1
2010-01,BK0201,Sweeping/Missed-Inadequate,1
2010-01,BK0202,Collection Truck Noise,1
2010-01,BK0202,Missed Collection (All Materials),16
2010-01,BK0202,Overflowing Litter Baskets,1
2010-01,BK0203,Litter Basket / Request,2
2010-01,BK0203,Missed Collection (All Materials),3
2010-01,BK0204,Missed Collection (All Materials),6
2010-01,BK0301,Litter Basket / Request,3
2010-01,BK0301,Missed Collection (All Materials),18
2010-01,BK0301,Overflowing Litter Baskets,1
2010-01,BK0302,Litter Basket / Request,2
2010-01,BK0302,Missed Collection (All Materials),26
2010-01,BK0302,Sweeping/Missed-Inadequate,1
2010-01,BK0401,Litter Basket / Request,1
2010-01,BK0401,Missed Collection (All Materials),4
2010-01,BK0401,Sweeping/Missed-Inadequate,1
2010-01,BK0402,Missed Collection (All Materials),6
2010-01,BK0501,Litter Basket / Request,2
2010-01,BK0501,Missed Collection (All Materials),3
2010-01,BK0502,Missed Collection (All Materials),5
2010-01,BK0503,Missed Collection (All Materials),24
2010-01,BK0503,Sweeping/Missed-Inadequate,1
2010-01,BK0504,Missed Collection (All Materials),1
2010-01,BK0505,Missed Collection (All Materials),9
2010-01,BK0601,Litter Basket / Request,2
2010-01,BK0601,Missed Collection (All Materials),24
2010-01,BK0601,Sweeping/Missed-Inadequate,2
2010-01,BK0602,Litter Basket / Request,1
2010-01,BK0602,Missed Collection (All Materials),23
2010-01,BK0702,Missed Collection (All Materials),4
2010-01,BK0703,Litter Basket / Request,3
2010-01,BK0703,Missed Collection (All Materials),3
2010-01,BK0801,Missed Collection (All Materials),4
2010-01,BK0802,Collection Truck Noise,1
2010-01,BK0802,Litter Basket / Request,1
2010-01,BK0802,Missed Collection (All Materials),10
2010-01,BK0802,Sweeping/Missed-Inadequate,2
2010-01,BK0901,Litter Basket / Request,5
2010-01,BK0901,Missed Collection (All Materials),8
2010-01,BK0902,Missed Collection (All Materials),9
2010-01,BK0902,Overflowing Litter Baskets,1
2010-01,BK0902,Sweeping/Missed-Inadequate,1
2010-01,BK1001,Collection Truck Noise,1
2010-01,BK1001,Litter Basket / Request,1
2010-01,BK1001,Missed Collection (All Materials),15
2010-01,BK1001,Overflowing Litter Baskets,2
2010-01,BK1001,Sweeping/Missed-Inadequate,3
2010-01,BK1002,Litter Basket / Request,1
2010-01,BK1002,Missed Collection (All Materials),6
2010-01,BK1101,Litter Basket / Request,2
2010-01,BK1101,Missed Collection (All Materials),21
2010-01,BK1102,Litter Basket / Request,2
2010-01,BK1102,Missed Collection (All Materials),7
2010-01,BK1102,Overflowing Litter Baskets,1
2010-01,BK1103,Missed Collection (All Materials),14
2010-01,BK1103,Overflowing Litter Baskets,2
2010-01,BK1103,Sweeping/Missed-Inadequate,1
2010-01,BK1201,Missed Collection (All Materials),3
2010-01,BK1202,Litter Basket / Request,1
2010-01,BK1202,Missed Collection (All Materials),24
2010-01,BK1202,Sweeping/Missed-Inadequate,2
2010-01,BK1203,Litter Basket / Request,1
2010-01,BK1203,Missed Collection (All Materials),4
2010-01,BK1203,Overflowing Litter Baskets,1
2010-01,BK1204,Collection Truck Noise,1
2010-01,BK1204,Litter Basket / Request,1
2010-01,BK1204,Missed Collection (All Materials),10
2010-01,BK1204,Overflowing Litter Baskets,1
2010-01,BK1204,Sweeping/Missed-Inadequate,2
2010-01,BK1301,Missed Collection (All Materials),12
2010-01,BK1301,Sweeping/Missed-Inadequate,1
2010-01,BK1302,Missed Collection (All Materials),5
2010-01,BK1303,Litter Basket / Request,1
2010-01,BK1303,Missed Collection (All Materials),5
2010-01,BK1303,Sweeping/Missed-Inadequate,1
2010-01,BK1401,Litter Basket / Request,1
2010-01,BK1401,Missed Collection (All Materials),8
2010-01,BK1401,Overflowing Litter Baskets,5
2010-01,BK1402,Litter Basket / Request,2
2010-01,BK1402,Missed Collection (All Materials),10
2010-01,BK1402,Overflowing Litter Baskets,4
2010-01,BK1402,Sweeping/Missed-Inadequate,1
2010-01,BK1403,Missed Collection (All Materials),11
2010-01,BK1403,Overflowing Litter Baskets,1
2010-01,BK1403,Sweeping/Missed-Inadequate,1
2010-01,BK1501,Litter Basket / Request,2
2010-01,BK1501,Missed Collection (All Materials),25
2010-01,BK1501,Sweeping/Missed-Inadequate,1
2010-01,BK1502,Collection Truck Noise,1
2010-01,BK1502,Litter Basket / Request,4
2010-01,BK1502,Missed Collection (All Materials),13
2010-01,BK1502,Overflowing Litter Baskets,2
2010-01,BK1503,Litter Basket / Request,2
2010-01,BK1503,Missed Collection (All Materials),22
2010-01,BK1601,Litter Basket / Request,1
2010-01,BK1601,Missed Collection (All Materials),3
2010-01,BK1601,Sweeping/Missed-Inadequate,1
2010-01,BK1602,Litter Basket / Request,3
2010-01,BK1602,Missed Collection (All Materials),6
2010-01,BK1701,Missed Collection (All Materials),4
2010-01,BK1701,Sweeping/Missed-Inadequate,1
2010-01,BK1702,Litter Basket / Request,1
2010-01,BK1702,Missed Collection (All Materials),15
2010-01,BK1703,Missed Collection (All Materials),10
2010-01,BK1703,Sweeping/Missed-Inadequate,1
2010-01,BK1704,Missed Collection (All Materials),3
2010-01,BK1704,Overflowing Litter Baskets,1
2010-01,BK1704,Sweeping/Missed-Inadequate,1
2010-01,BK1801,Litter Basket / Request,1
2010-01,BK1801,Missed Collection (All Materials),15
2010-01,BK1801,Overflowing Litter Baskets,1
2010-01,BK1802,Missed Collection (All Materials),38
2010-01,BK1803,Litter Basket / Request,2
2010-01,BK1803,Missed Collection (All Materials),27
2010-01,BK1803,Overflowing Litter Baskets,1
2010-01,BX0101,Collection Truck Noise,1
2010-01,BX0101,Missed Collection (All Materials),6
2010-01,BX0102,Litter Basket / Request,3
2010-01,BX0102,Missed Collection (All Materials),1
2010-01,BX0201,Missed Collection (All Materials),6
2010-01,BX0202,Missed Collection (All Materials),7
2010-01,BX0301,Missed Collection (All Materials),6
2010-01,BX0301,Overflowing Litter Baskets,1
2010-01,BX0302,Litter Basket / Request,2
2010-01,BX0302,Missed Collection (All Materials),2
2010-01,BX0303,Missed Collection (All Materials),7
2010-01,BX0401,Missed Collection (All Materials),3
2010-01,BX0402,Missed Collection (All Materials),1
2010-01,BX0402,Overflowing Litter Baskets,3
2010-01,BX0403,Missed Collection (All Materials),3
2010-01,BX0501,Missed Collection (All Materials),2
2010-01,BX0502,Missed Collection (All Materials),1
2010-01,BX0503,Litter Basket / Request,1
2010-01,BX0602,Litter Basket / Request,1
2010-01,BX0602,Missed Collection (All Materials),9
2010-01,BX0603,Missed Collection (All Materials),2
2010-01,BX0701,Missed Collection (All Materials),5
2010-01,BX0702,Missed Collection (All Materials),2
2010-01,BX0703,Missed Collection (All Materials),1
2010-01,BX0801,Missed Collection (All Materials),1
2010-01,BX0801,Sweeping/Missed-Inadequate,1
2010-01,BX0803,Missed Collection (All Materials),16
2010-01,BX0901,Missed Collection (All Materials),10
2010-01,BX0902,Missed Collection (All Materials),1
2010-01,BX0903,Missed Collection (All Materials),7
2010-01,BX0904,Overflowing Litter Baskets,1
2010-01,BX1001,Litter Basket / Request,1
2010-01,BX1001,Missed Collection (All Materials),8
2010-01,BX1002,Litter Basket / Request,1
2010-01,BX1002,Missed Collection (All Materials),28
2010-01,BX1002,Overflowing Litter Baskets,1
2010-01,BX1003,Litter Basket / Request,1
2010-01,BX1003,Missed Collection (All Materials),9
2010-01,BX1101,Litter Basket / Request,1
2010-01,BX1101,Missed Collection (All Materials),8
2010-01,BX1101,Sweeping/Missed-Inadequate,2
2010-01,BX1102,Litter Basket / Request,2
2010-01,BX1102,Missed Collection (All Materials),8
2010-01,BX1102,Sweeping/Missed-Inadequate,1
2010-01,BX1103,Missed Collection (All Materials),16
2010-01,BX1103,Sweeping/Missed-Inadequate,1
2010-01,BX1104,Missed Collection (All Materials),4
2010-01,BX1104,Sweeping/Missed-Inadequate,1
2010-01,BX1201,Missed Collection (All Materials),10
2010-01,BX1201,Overflowing Litter Baskets,3
2010-01,BX1202,Missed Collection (All Materials),20
2010-01,BX1203,Missed Collection (All Materials),17
2010-01,MN0101,Missed Collection (All Materials),5
2010-01,MN0102,Litter Basket / Request,1
2010-01,MN0102,Missed Collection (All Materials),1
2010-01,MN0201,Collection Truck Noise,1
2010-01,MN0201,Litter Basket / Request,2
2010-01,MN0201,Missed Collection (All Materials),6
2010-01,MN0201,Overflowing Litter Baskets,1
2010-01,MN0202,Missed Collection (All Materials),9
2010-01,MN0203,Litter Basket / Request,2
2010-01,MN0203,Missed Collection (All Materials),5
2010-01,MN0301,Missed Collection (All Materials),2
2010-01,MN0301,Overflowing Litter Baskets,3
2010-01,MN0302,Litter Basket / Request,1
2010-01,MN0302,Missed Collection (All Materials),4
2010-01,MN0302,Sweeping/Missed-Inadequate,1
2010-01,MN0303,Missed Collection (All Materials),5
2010-01,MN0401,Litter Basket / Request,1
2010-01,MN0401,Missed Collection (All Materials),6
2010-01,MN0402,Missed Collection (All Materials),7
2010-01,MN0501,Litter Basket / Request,4
2010-01,MN0501,Missed Collection (All Materials),4
2010-01,MN0501,Overflowing Litter Baskets,1
2010-01,MN0502,Litter Basket / Request,1
2010-01,MN0502,Missed Collection (All Materials),4
2010-01,MN0602,Missed Collection (All Materials),1
2010-01,MN0603,Litter Basket / Request,1
2010-01,MN0603,Missed Collection (All Materials),5
2010-01,MN0604,Missed Collection (All Materials),15
2010-01,MN0604,Sweeping/Missed-Inadequate,1
2010-01,MN0701,Missed Collection (All Materials),7
2010-01,MN0701,Overflowing Litter Baskets,6
2010-01,MN0702,Collection Truck Noise,1
2010-01,MN0702,Litter Basket / Request,2
2010-01,MN0702,Missed Collection (All Materials),15
2010-01,MN0702,Overflowing Litter Baskets,3
2010-01,MN0703,Litter Basket / Request,1
2010-01,MN0703,Missed Collection (All Materials),1
2010-01,MN0801,Litter Basket / Request,1
2010-01,MN0801,Missed Collection (All Materials),7
2010-01,MN0802,Litter Basket / Request,3
2010-01,MN0802,Missed Collection (All Materials),13
2010-01,MN0802,Sweeping/Missed-Inadequate,1
2010-01,MN0803,Missed Collection (All Materials),7
2010-01,MN0803,Sweeping/Missed-Inadequate,2
2010-01,MN0901,Missed Collection (All Materials),4
2010-01,MN0901,Sweeping/Missed-Inadequate,2
2010-01,MN0903,Missed Collection (All Materials),2
2010-01,MN0903,Overflowing Litter Baskets,2
2010-01,MN1001,Litter Basket / Request,1
2010-01,MN1001,Missed Collection (All Materials),14
2010-01,MN1002,Litter Basket / Request,1
2010-01,MN1002,Missed Collection (All Materials),8
2010-01,MN1002,Sweeping/Missed-Inadequate,1
2010-01,MN1101,Litter Basket / Request,2
2010-01,MN1101,Missed Collection (All Materials),6
2010-01,MN1101,Sweeping/Missed-Inadequate,1
2010-01,MN1102,Litter Basket / Request,1
2010-01,MN1102,Missed Collection (All Materials),4
2010-01,MN1102,Sweeping/Missed-Inadequate,1
2010-01,MN1201,Missed Collection (All Materials),6
2010-01,MN1201,Overflowing Litter Baskets,1
2010-01,MN1202,Litter Basket / Request,5
2010-01,MN1202,Missed Collection (All Materials),6
2010-01,MN1203,Litter Basket / Request,2
2010-01,MN1203,Missed Collection (All Materials),1
2010-01,MN1203,Overflowing Litter Baskets,2
2010-01,QN0101,Missed Collection (All Materials),16
2010-01,QN0101,Overflowing Litter Baskets,1
2010-01,QN0101,Sweeping/Missed-Inadequate,1
2010-01,QN0102,Missed Collection (All Materials),1
2010-01,QN0103,Litter Basket / Request,1
2010-01,QN0103,Missed Collection (All Materials),12
2010-01,QN0103,Overflowing Litter Baskets,1
2010-01,QN0103,Sweeping/Missed-Inadequate,1
2010-01,QN0104,Litter Basket / Request,2
2010-01,QN0104,Missed Collection (All Materials),12
2010-01,QN0105,Missed Collection (All Materials),13
2010-01,QN0201,Litter Basket / Request,4
2010-01,QN0201,Missed Collection (All Materials),2
2010-01,QN0202,Missed Collection (All Materials),8
2010-01,QN0202,Sweeping/Missed-Inadequate,1
2010-01,QN0203,Litter Basket / Request,1
2010-01,QN0203,Missed Collection (All Materials),3
2010-01,QN0301,Litter Basket / Request,1
2010-01,QN0301,Missed Collection (All Materials),7
2010-01,QN0302,Litter Basket / Request,1
2010-01,QN0302,Missed Collection (All Materials),12
2010-01,QN0302,Overflowing Litter Baskets,1
2010-01,QN0302,Sweeping/Missed-Inadequate,2
2010-01,QN0303,Litter Basket / Request,2
2010-01,QN0303,Missed Collection (All Materials),4
2010-01,QN0401,Litter Basket / Request,1
2010-01,QN0401,Missed Collection (All Materials),21
2010-01,QN0402,Missed Collection (All Materials),9
2010-01,QN0402,Overflowing Litter Baskets,1
2010-01,QN0501,Litter Basket / Request,1
2010-01,QN0501,Missed Collection (All Materials),21
2010-01,QN0501,Overflowing Litter Baskets,1
2010-01,QN0502,Collection Truck Noise,1
2010-01,QN0502,Litter Basket / Request,1
2010-01,QN0502,Missed Collection (All Materials),28
2010-01,QN0502,Sweeping/Missed-Inadequate,1
2010-01,QN0503,Litter Basket / Request,2
2010-01,QN0503,Missed Collection (All Materials),12
2010-01,QN0504,Missed Collection (All Materials),12
2010-01,QN0601,Missed Collection (All Materials),7
2010-01,QN0601,Overflowing Litter Baskets,1
2010-01,QN0602,Litter Basket / Request,1
2010-01,QN0602,Missed Collection (All Materials),31
2010-01,QN0602,Overflowing Litter Baskets,4
2010-01,QN0602,Sweeping/Missed-Inadequate,1
2010-01,QN0701,Missed Collection (All Materials),11
2010-01,QN0702,Missed Collection (All Materials),14
2010-01,QN0703,Missed Collection (All Materials),9
2010-01,QN0704,Litter Basket / Request,2
2010-01,QN0704,Missed Collection (All Materials),23
2010-01,QN0705,Litter Basket / Request,1
2010-01,QN0705,Missed Collection (All Materials),12
2010-01,QN0705,Overflowing Litter Baskets,1
2010-01,QN0706,Missed Collection (All Materials),6
2010-01,QN0707,Missed Collection (All Materials),12
2010-01,QN0707,Sweeping/Missed-Inadequate,1
2010-01,QN0801,Missed Collection (All Materials),23
2010-01,QN0802,Litter Basket / Request,1
2010-01,QN0802,Missed Collection (All Materials),10
2010-01,QN0803,Missed Collection (All Materials),6
2010-01,QN0804,Missed Collection (All Materials),8
2010-01,QN0805,Litter Basket / Request,1
2010-01,QN0805,Missed Collection (All Materials),7
2010-01,QN0901,Missed Collection (All Materials),2
2010-01,QN0902,Litter Basket / Request,1
2010-01,QN0902,Missed Collection (All Materials),7
2010-01,QN0902,Overflowing Litter Baskets,1
2010-01,QN0903,Missed Collection (All Materials),3
2010-01,QN0903,Overflowing Litter Baskets,1
2010-01,QN0904,Missed Collection (All Materials),5
2010-01,QN0905,Litter Basket / Request,1
2010-01,QN0905,Missed Collection (All Materials),10
2010-01,QN1001,Litter Basket / Request,1
2010-01,QN1001,Missed Collection (All Materials),22
2010-01,QN1002,Litter Basket / Request,1
2010-01,QN1002,Missed Collection (All Materials),8
2010-01,QN1002,Overflowing Litter Baskets,2
2010-01,QN1003,Missed Collection (All Materials),17
2010-01,QN1101,Litter Basket / Request,2
2010-01,QN1101,Missed Collection (All Materials),10
2010-01,QN1101,Sweeping/Missed-Inadequate,1
2010-01,QN1102,Litter Basket / Request,1
2010-01,QN1102,Missed Collection (All Materials),16
2010-01,QN1103,Missed Collection (All Materials),15
2010-01,QN1104,Litter Basket / Request,1
2010-01,QN1104,Missed Collection (All Materials),4
2010-01,QN1201,Litter Basket / Request,2
2010-01,QN1201,Missed Collection (All Materials),8
2010-01,QN1201,Sweeping/Missed-Inadequate,1
2010-01,QN1202,Missed Collection (All Materials),24
2010-01,QN1202,Sweeping/Missed-Inadequate,1
2010-01,QN1203,Missed Collection (All Materials),10
2010-01,QN1204,Missed Collection (All Materials),17
2010-01,QN1205,Missed Collection (All Materials),24
2010-01,QN1206,Missed Collection (All Materials),6
2010-01,QN1301,Missed Collection (All Materials),13
2010-01,QN1302,Litter Basket / Request,2
2010-01,QN1302,Missed Collection (All Materials),16
2010-01,QN1303,Missed Collection (All Materials),22
2010-01,QN1304,Missed Collection (All Materials),12
2010-01,QN1305,Litter Basket / Request,2
2010-01,QN1305,Missed Collection (All Materials),9
2010-01,QN1306,Litter Basket / Request,1
2010-01,QN1306,Missed Collection (All Materials),16
2010-01,QN1306,Overflowing Litter Baskets,2
2010-01,QN1307,Missed Collection (All Materials),14
2010-01,QN1401,Missed Collection (All Materials),23
2010-01,QN1402,Missed Collection (All Materials),5
2010-01,QN1402,Sweeping/Missed-Inadequate,2
2010-01,QN1403,Missed Collection (All Materials),1
2010-01,QN1403,Overflowing Litter Baskets,1
2010-01,QN8291,Litter Basket / Request,1
2010-01,SI0101,Litter Basket / Request,1
2010-01,SI0101,Missed Collection (All Materials),12
2010-01,SI0102,Litter Basket / Request,2
2010-01,SI0102,Missed Collection (All Materials),14
2010-01,SI0103,Litter Basket / Request,1
2010-01,SI0103,Missed Collection (All Materials),15
2010-01,SI0104,Litter Basket / Request,1
2010-01,SI0104,Missed Collection (All Materials),19
2010-01,SI0105,Missed Collection (All Materials),19
2010-01,SI0105,Overflowing Litter Baskets,1
2010-01,SI0106,Missed Collection (All Materials),14
2010-01,SI0107,Litter Basket / Request,1
2010-01,SI0107,Missed Collection (All Materials),24
2010-01,SI0201,Litter Basket / Request,1
2010-01,SI0201,Missed Collection (All Materials),24
2010-01,SI0201,Overflowing Litter Baskets,1
2010-01,SI0202,Litter Basket / Request,1
2010-01,SI0202,Missed Collection (All Materials),24
2010-01,SI0203,Collection Truck Noise,1
2010-01,SI0203,Litter Basket / Request,1
2010-01,SI0203,Missed Collection (All Materials),30
2010-01,SI0203,Overflowing Litter Baskets,1
2010-01,SI0204,Litter Basket / Request,1
2010-01,SI0204,Missed Collection (All Materials),33
2010-01,SI0301,Litter Basket / Request,1
2010-01,SI0301,Missed Collection (All Materials),11
2010-01,SI0302,Missed Collection (All Materials),28
2010-01,SI0303,Litter Basket / Request,1
2010-01,SI0303,Missed Collection (All Materials),18
2010-01,SI0303,Sweeping/Missed-Inadequate,1
2010-01,SI0304,Litter Basket / Request,1
2010-01,SI0304,Missed Collection (All Materials),56
2010-01,SI0305,Litter Basket / Request,1
2010-01,SI0305,Missed Collection (All Materials),32
2010-02,BK0101,Missed Collection (All Materials),19
2010-02,BK0102,Litter Basket / Request,3
2010-02,BK0102,Missed Collection (All Materials),13
2010-02,BK0102,Sweeping/Missed-Inadequate,1
2010-02,BK0103,Missed Collection (All Materials),4
2010-02,BK0103,Sweeping/Missed-Inadequate,1
2010-02,BK0104,Litter Basket / Request,2
2010-02,BK0104,Missed Collection (All Materials),7
2010-02,BK0201,Collection Truck Noise,1
2010-02,BK0201,Missed Collection (All Materials),3
2010-02,BK0202,Collection Truck Noise,1
2010-02,BK0202,Litter Basket / Request,1
2010-02,BK0202,Missed Collection (All Materials),6
2010-02,BK0202,Sweeping/Missed-Inadequate,2
2010-02,BK0204,Missed Collection (All Materials),2
2010-02,BK0301,Litter Basket / Request,1
2010-02,BK0301,Missed Collection (All Materials),19
2010-02,BK0301,Sweeping/Missed-Inadequate,1
2010-02,BK0302,Litter Basket / Request,3
2010-02,BK0302,Missed Collection (All Materials),11
2010-02,BK0302,Sweeping/Missed-Inadequate,1
2010-02,BK0401,Litter Basket / Request,3
2010-02,BK0401,Missed Collection (All Materials),9
2010-02,BK0401,Sweeping/Missed-Inadequate,1
2010-02,BK0402,Litter Basket / Request,1
2010-02,BK0402,Missed Collection (All Materials),11
2010-02,BK0501,Litter Basket / Request,2
2010-02,BK0501,Missed Collection (All Materials),8
2010-02,BK0502,Litter Basket / Request,1
2010-02,BK0502,Missed Collection (All Materials),3
2010-02,BK0503,Missed Collection (All Materials),22
2010-02,BK0503,Sweeping/Missed-Inadequate,1
2010-02,BK0504,Missed Collection (All Materials),5
2010-02,BK0505,Missed Collection (All Materials),21
2010-02,BK0505,Overflowing Litter Baskets,1
2010-02,BK0505,Sweeping/Missed-Inadequate,3
2010-02,BK0571,Missed Collection (All Materials),1
2010-02,BK0601,Litter Basket / Request,3
2010-02,BK0601,Missed Collection (All Materials),16
2010-02,BK0602,Missed Collection (All Materials),14
2010-02,BK0602,Sweeping/Missed-Inadequate,3
2010-02,BK0701,Missed Collection (All Materials),2
2010-02,BK0702,Missed Collection (All Materials),3
2010-02,BK0702,Overflowing Litter Baskets,1
2010-02,BK0702,Sweeping/Missed-Inadequate,1
2010-02,BK0703,Missed Collection (All Materials),1
2010-02,BK0703,Sweeping/Missed-Inadequate,1
2010-02,BK0801,Litter Basket / Request,1
2010-02,BK0801,Missed Collection (All Materials),1
2010-02,BK0802,Litter Basket / Request,2
2010-02,BK0802,Missed Collection (All Materials),11
2010-02,BK0802,Sweeping/Missed-Inadequate,1
2010-02,BK0901,Missed Collection (All Materials),10
2010-02,BK0901,Sweeping/Missed-Inadequate,1
2010-02,BK0902,Litter Basket / Request,1
2010-02,BK0902,Missed Collection (All Materials),2
2010-02,BK0902,Sweeping/Missed-Inadequate,5
2010-02,BK1001,Litter Basket / Request,2
2010-02,BK1001,Missed Collection (All Materials),8
2010-02,BK1001,Sweeping/Missed-Inadequate,2
2010-02,BK1002,Missed Collection (All Materials),12
2010-02,BK1002,Overflowing Litter Baskets,2
2010-02,BK1002,Sweeping/Missed-Inadequate,4
2010-02,BK1101,Litter Basket / Request,2
2010-02,BK1101,Missed Collection (All Materials),27
2010-02,BK1101,Sweeping/Missed-Inadequate,2
2010-02,BK1102,Litter Basket / Request,4
2010-02,BK1102,Missed Collection (All Materials),2
2010-02,BK1103,Missed Collection (All Materials),8
2010-02,BK1103,Sweeping/Missed-Inadequate,3
2010-02,BK1201,Missed Collection (All Materials),5
2010-02,BK1201,Sweeping/Missed-Inadequate,2
2010-02,BK1202,Litter Basket / Request,1
2010-02,BK1202,Missed Collection (All Materials),21
2010-02,BK1202,Overflowing Litter Baskets,2
2010-02,BK1202,Sweeping/Missed-Inadequate,4
2010-02,BK1203,Missed Collection (All Materials),4
2010-02,BK1203,Overflowing Litter Baskets,2
2010-02,BK1204,Collection Truck Noise,1
2010-02,BK1204,Litter Basket / Request,1
2010-02,BK1204,Missed Collection (All Materials),16
2010-02,BK1301,Missed Collection (All Materials),3
2010-02,BK1301,Sweeping/Missed-Inadequate,1
2010-02,BK1302,Missed Collection (All Materials),1
2010-02,BK1302,Overflowing Litter Baskets,1
2010-02,BK1303,Overflowing Litter Baskets,1
2010-02,BK1303,Sweeping/Missed-Inadequate,1
2010-02,BK1401,Litter Basket / Request,1
2010-02,BK1401,Missed Collection (All Materials),5
2010-02,BK1401,Overflowing Litter Baskets,8
2010-02,BK1402,Missed Collection (All Materials),4
2010-02,BK1402,Overflowing Litter Baskets,2
2010-02,BK1403,Litter Basket / Request,1
2010-02,BK1403,Missed Collection (All Materials),12
2010-02,BK1403,Overflowing Litter Baskets,2
2010-02,BK1403,Sweeping/Missed-Inadequate,2
2010-02,BK1501,Adopt-A-Basket,1
2010-02,BK1501,Missed Collection (All Materials),15
2010-02,BK1501,Overflowing Litter Baskets,2
2010-02,BK1501,Sweeping/Missed-Inadequate,2
2010-02,BK1502,Litter Basket / Request,3
2010-02,BK1502,Missed Collection (All Materials),11
2010-02,BK1502,Overflowing Litter Baskets,4
2010-02,BK1503,Litter Basket / Request,1
2010-02,BK1503,Missed Collection (All Materials),11
2010-02,BK1503,Overflowing Litter Baskets,1
2010-02,BK1601,Litter Basket / Request,2
2010-02,BK1601,Missed Collection (All Materials),5
2010-02,BK1602,Missed Collection (All Materials),6
2010-02,BK1701,Litter Basket / Request,2
2010-02,BK1701,Missed Collection (All Materials),7
2010-02,BK1702,Litter Basket / Request,1
2010-02,BK1702,Missed Collection (All Materials),13
2010-02,BK1702,Sweeping/Missed-Inadequate,1
2010-02,BK1703,Litter Basket / Request,1
2010-02,BK1703,Missed Collection (All Materials),8
2010-02,BK1704,Missed Collection (All Materials),3
2010-02,BK1704,Sweeping/Missed-Inadequate,1
2010-02,BK1801,Missed Collection (All Materials),17
2010-02,BK1802,Missed Collection (All Materials),22
2010-02,BK1803,Litter Basket / Request,1
2010-02,BK1803,Missed Collection (All Materials),7
2010-02,BK1803,Sweeping/Missed-Inadequate,2
2010-02,BK1891,Litter Basket / Request,1
2010-02,BX0101,Missed Collection (All Materials),1
2010-02,BX0101,Sweeping/Missed-Inadequate,1
2010-02,BX0201,Collection Truck Noise,1
2010-02,BX0201,Litter Basket / Request,1
2010-02,BX0201,Missed Collection (All Materials),3
2010-02,BX0202,Missed Collection (All Materials),6
2010-02,BX0301,Missed Collection (All Materials),4
2010-02,BX0302,Missed Collection (All Materials),2
2010-02,BX0303,Missed Collection (All Materials),3
2010-02,BX0401,Adopt-A-Basket,1
2010-02,BX0401,Missed Collection (All Materials),3
2010-02,BX0403,Missed Collection (All Materials),3
2010-02,BX0501,Sweeping/Missed-Inadequate,1
2010-02,BX0502,Missed Collection (All Materials),1
2010-02,BX0503,Overflowing Litter Baskets,1
2010-02,BX0601,Missed Collection (All Materials),3
2010-02,BX0602,Missed Collection (All Materials),4
2010-02,BX0603,Missed Collection (All Materials),3
2010-02,BX0701,Litter Basket / Request,2
2010-02,BX0702,Missed Collection (All Materials),3
2010-02,BX0702,Sweeping/Missed-Inadequate,1
2010-02,BX0703,Litter Basket / Request,1
2010-02,BX0703,Missed Collection (All Materials),8
2010-02,BX0801,Missed Collection (All Materials),2
2010-02,BX0802,Litter Basket / Request,2
2010-02,BX0802,Missed Collection (All Materials),1
2010-02,BX0803,Litter Basket / Request,2
2010-02,BX0803,Missed Collection (All Materials),6
2010-02,BX0901,Missed Collection (All Materials),4
2010-02,BX0901,Overflowing Litter Baskets,1
2010-02,BX0902,Litter Basket / Request,1
2010-02,BX0902,Missed Collection (All Materials),5
2010-02,BX0903,Missed Collection (All Materials),7
2010-02,BX1001,Litter Basket / Request,2
2010-02,BX1002,Litter Basket / Request,2
2010-02,BX1002,Missed Collection (All Materials),5
2010-02,BX1002,Overflowing Litter Baskets,1
2010-02,BX1003,Litter Basket / Request,1
2010-02,BX1003,Missed Collection (All Materials),7
2010-02,BX1101,Missed Collection (All Materials),1
2010-02,BX1101,Sweeping/Missed-Inadequate,1
2010-02,BX1102,Missed Collection (All Materials),4
2010-02,BX1102,Overflowing Litter Baskets,1
2010-02,BX1103,Missed Collection (All Materials),2
2010-02,BX1104,Litter Basket / Request,1
2010-02,BX1104,Missed Collection (All Materials),2
2010-02,BX1201,Missed Collection (All Materials),11
2010-02,BX1201,Sweeping/Missed-Inadequate,2
2010-02,BX1202,Missed Collection (All Materials),5
2010-02,BX1203,Collection Truck Noise,1
2010-02,BX1203,Missed Collection (All Materials),9
2010-02,BX1203,Overflowing Litter Baskets,1
2010-02,BX2691,Sweeping/Missed-Inadequate,1
2010-02,MN0101,Collection Truck Noise,2
2010-02,MN0101,Missed Collection (All Materials),1
2010-02,MN0102,Missed Collection (All Materials),2
2010-02,MN0201,Missed Collection (All Materials),3
2010-02,MN0201,Overflowing Litter Baskets,1
2010-02,MN0201,Sweeping/Missed-Inadequate,1
2010-02,MN0202,Adopt-A-Basket,1
2010-02,MN0202,Litter Basket / Request,1
2010-02,MN0202,Missed Collection (All Materials),2
2010-02,MN0203,Missed Collection (All Materials),10
2010-02,MN0203,Sweeping/Missed-Inadequate,1
2010-02,MN0302,Collection Truck Noise,1
