unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,intersection_street_1,intersection_street_2,address_type,city,facility_type,status,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane_,y_coordinate_state_plane_,park_facility_name,park_borough,latitude,longitude,location,incident_address,street_name,cross_street_1,cross_street_2,landmark
45393153,2020-01-15T19:25:00.000,2020-01-19T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,10307,,,ADDRESS,STATEN ISLAND,,Closed,2020-01-19T00:00:00.000,03 STATEN ISLAND,STATEN ISLAND,915077,125558,Unspecified,STATEN ISLAND,40.51103311530922,-74.2487643353867,"{'type': 'Point', 'coordinates': [-74.2487643353867, 40.51103311530922]}",163 MAIN STREET,MAIN STREET,ARTHUR KILL ROAD,EDEN COURT,
45398281,2020-01-15T19:25:00.000,2020-01-17T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11369,,,ADDRESS,East Elmhurst,,Closed,2020-01-17T00:00:00.000,03 QUEENS,QUEENS,1021705,215744,Unspecified,QUEENS,40.75876458715411,-73.86480111409138,"{'type': 'Point', 'coordinates': [-73.86480111409138, 40.75876458715411]}",32-41 104 STREET,104 STREET,32 AVENUE,NORTHERN BOULEVARD,
45396213,2020-01-15T19:24:00.000,2020-01-17T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11232,,,ADDRESS,BROOKLYN,,Closed,2020-01-17T00:00:00.000,07 BROOKLYN,BROOKLYN,985270,180200,Unspecified,BROOKLYN,40.66128402817961,-73.99632355396615,"{'type': 'Point', 'coordinates': [-73.99632355396615, 40.66128402817961]}",185 23 STREET,23 STREET,4 AVENUE,5 AVENUE,
45393176,2020-01-15T19:22:00.000,2020-01-18T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11211,,,ADDRESS,BROOKLYN,,Closed,2020-01-18T00:00:00.000,01 BROOKLYN,BROOKLYN,999482,199044,Unspecified,BROOKLYN,40.71299343405406,-73.9450558108141,"{'type': 'Point', 'coordinates': [-73.9450558108141, 40.71299343405406]}",230 AINSLIE STREET,AINSLIE STREET,MANHATTAN AVENUE,GRAHAM AVENUE,
45394251,2020-01-15T19:19:00.000,2020-01-22T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11217,,,ADDRESS,BROOKLYN,,Closed,2020-01-22T00:00:00.000,06 BROOKLYN,BROOKLYN,989819,187391,Unspecified,BROOKLYN,40.681020020203356,-73.97992138485098,"{'type': 'Point', 'coordinates': [-73.97992138485098, 40.681020020203356]}",603 WARREN STREET,WARREN STREET,4 AVENUE,5 AVENUE,
45397236,2020-01-15T19:19:00.000,2020-01-18T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11432,,,ADDRESS,Jamaica,,Closed,2020-01-18T00:00:00.000,08 QUEENS,QUEENS,1040493,199066,Unspecified,QUEENS,40.712888164214256,-73.7971229180736,"{'type': 'Point', 'coordinates': [-73.7971229180736, 40.712888164214256]}",85-17 167 STREET,167 STREET,GOTHIC DRIVE,HIGHLAND AVENUE,
45393183,2020-01-15T19:18:00.000,2020-01-17T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,10003,,,ADDRESS,NEW YORK,,Closed,2020-01-17T00:00:00.000,03 MANHATTAN,MANHATTAN,988374,206011,Unspecified,MANHATTAN,40.732128314538684,-73.9851198208051,"{'type': 'Point', 'coordinates': [-73.9851198208051, 40.732128314538684]}",223 2 AVENUE,2 AVENUE,EAST 13 STREET,EAST 14 STREET,
45392185,2020-01-15T19:17:00.000,2020-01-19T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11236,,,ADDRESS,BROOKLYN,,Closed,2020-01-19T00:00:00.000,17 BROOKLYN,BROOKLYN,1007255,175355,Unspecified,BROOKLYN,40.64795574134111,-73.91709827624456,"{'type': 'Point', 'coordinates': [-73.91709827624456, 40.64795574134111]}",241 EAST   88 STREET,EAST   88 STREET,AVENUE B,DITMAS AVENUE,
45395203,2020-01-15T19:17:00.000,2020-01-22T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11231,,,ADDRESS,BROOKLYN,,Closed,2020-01-22T00:00:00.000,06 BROOKLYN,BROOKLYN,986248,188223,Unspecified,BROOKLYN,40.68330519725327,-73.99279611285476,"{'type': 'Point', 'coordinates': [-73.99279611285476, 40.68330519725327]}",248 SMITH STREET,SMITH STREET,DOUGLASS STREET,DEGRAW STREET,
45395275,2020-01-15T19:16:00.000,2020-01-18T00:00:00.000,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11218,,,ADDRESS,BROOKLYN,,Closed,2020-01-18T00:00:00.000,07 BROOKLYN,BROOKLYN,991532,177412,Unspecified,BROOKLYN,40.65362864464479,-73.97375607021831,"{'type': 'Point', 'coordinates': [-73.97375607021831, 40.65362864464479]}",68 REEVE PLACE,REEVE PLACE,SHERMAN STREET,PROSPECT PARK SOUTHWEST,
