year,month,Complaint Type,Borough,count
2010,10,Sweeping,BROOKLYN,62
2010,10,Sweeping,MANHATTAN,15
2010,10,Sweeping,QUEENS,43
2010,10,Sweeping,STATEN ISLAND,1
2010,11,Basket,BRONX,33
2010,11,Basket,BROOKLYN,61
2010,11,Basket,MANHATTAN,43
2010,11,Basket,QUEENS,58
2010,11,Basket,STATEN ISLAND,13
2010,11,Collection,BRONX,99
2010,11,Collection,BROOKLYN,381
2010,11,Collection,MANHATTAN,121
2010,11,Collection,QUEENS,472
2010,11,Collection,STATEN ISLAND,264
2010,11,Sweeping,BRONX,9
2010,11,Sweeping,BROOKLYN,113
2010,11,Sweeping,MANHATTAN,17
2010,11,Sweeping,QUEENS,42
2010,11,Sweeping,STATEN ISLAND,1
2010,12,Basket,BRONX,16
2010,12,Basket,BROOKLYN,54
2010,12,Basket,MANHATTAN,36
2010,12,Basket,QUEENS,26
2010,12,Basket,STATEN ISLAND,7
2010,12,Collection,BRONX,85
2010,12,Collection,BROOKLYN,328
2010,12,Collection,MANHATTAN,93
2010,12,Collection,QUEENS,436
2010,12,Collection,STATEN ISLAND,275
2010,12,Sweeping,BRONX,3
2010,12,Sweeping,BROOKLYN,34
2010,12,Sweeping,MANHATTAN,8
2010,12,Sweeping,QUEENS,24
2011,1,Basket,BRONX,8
2011,1,Basket,BROOKLYN,28
2011,1,Basket,MANHATTAN,36
2011,1,Basket,QUEENS,46
2011,1,Basket,STATEN ISLAND,10
2011,1,Collection,BRONX,16
2011,1,Collection,BROOKLYN,66
2011,1,Collection,MANHATTAN,21
2011,1,Collection,QUEENS,81
2011,1,Collection,STATEN ISLAND,58
2011,1,Sweeping,BRONX,1
2011,1,Sweeping,BROOKLYN,10
2011,1,Sweeping,MANHATTAN,5
2011,1,Sweeping,QUEENS,3
2011,2,Basket,BRONX,42
2011,2,Basket,BROOKLYN,71
2011,2,Basket,MANHATTAN,55
2011,2,Basket,QUEENS,73
2011,2,Basket,STATEN ISLAND,25
2011,2,Collection,BRONX,233
2011,2,Collection,BROOKLYN,636
2011,2,Collection,MANHATTAN,199
2011,2,Collection,QUEENS,876
2011,2,Collection,STATEN ISLAND,398
2011,2,Sweeping,BRONX,3
