year_month,Complaint Type,census_tract_id,complaint_count
2010-01,Basket Complaint,36081032000,2
2010-01,Basket Complaint,36081036300,1
2010-01,Basket Complaint,36081037300,1
2010-01,Basket Complaint,36081037900,1
2010-01,Basket Complaint,36081040101,1
2010-01,Basket Complaint,36081040301,1
2010-01,Basket Complaint,36081044400,1
2010-01,Basket Complaint,36081046000,1
2010-01,Basket Complaint,36081051100,1
2010-01,Basket Complaint,36081052100,1
2010-01,Basket Complaint,36081059300,1
2010-01,Basket Complaint,36081063200,2
2010-01,Basket Complaint,36081063700,2
2010-01,Basket Complaint,36081064102,1
2010-01,Basket Complaint,36081070900,1
2010-01,Basket Complaint,36081071306,1
2010-01,Basket Complaint,36081071701,1
2010-01,Basket Complaint,36081072100,1
2010-01,Basket Complaint,36081072300,1
2010-01,Basket Complaint,36081076902,1
2010-01,Basket Complaint,36081081800,1
2010-01,Basket Complaint,36081085500,2
2010-01,Basket Complaint,36081092800,1
2010-01,Basket Complaint,36081109300,1
2010-01,Basket Complaint,36081119900,2
2010-01,Basket Complaint,36081126700,1
2010-01,Basket Complaint,36081129103,1
2010-01,Basket Complaint,36081140902,1
2010-01,Basket Complaint,36081145900,1
2010-01,Basket Complaint,36081162100,2
2010-01,Basket Complaint,36085000300,1
2010-01,Basket Complaint,36085001700,1
2010-01,Basket Complaint,36085002001,1
2010-01,Basket Complaint,36085002100,1
2010-01,Basket Complaint,36085009602,2
2010-01,Basket Complaint,36085010500,1
2010-01,Basket Complaint,36085011203,1
2010-01,Basket Complaint,36085012806,1
2010-01,Basket Complaint,36085017009,1
2010-01,Basket Complaint,36085017300,1
2010-01,Basket Complaint,36085018701,1
2010-01,Basket Complaint,36085018703,1
2010-01,Basket Complaint,36085019800,1
2010-01,Basket Complaint,36085024401,1
2010-01,Basket Complaint,36085029106,1
2010-01,Basket Complaint,36085030302,1
2010-01,Collection Truck Noise,36005003100,1
2010-01,Collection Truck Noise,36047001502,1
2010-01,Collection Truck Noise,36047003600,1
2010-01,Collection Truck Noise,36047030500,1
2010-01,Collection Truck Noise,36047043800,1
2010-01,Collection Truck Noise,36047054500,1
2010-01,Collection Truck Noise,36047055800,1
2010-01,Collection Truck Noise,36061004100,1
2010-01,Collection Truck Noise,36061018100,1
2010-01,Collection Truck Noise,36081055900,1
2010-01,Collection Truck Noise,36085011402,1
2010-01,Missing Collection,36005000200,1
2010-01,Missing Collection,36005002500,1
2010-01,Missing Collection,36005002702,2
2010-01,Missing Collection,36005003500,1
2010-01,Missing Collection,36005004300,2
2010-01,Missing Collection,36005005001,1
2010-01,Missing Collection,36005005600,1
2010-01,Missing Collection,36005006200,1
2010-01,Missing Collection,36005006301,1
